UserID	Type
1	5
2	19
3	8
4	5
5	19
6	17
7	17
8	17
9	4
10	17
11	19
12	9
13	18
14	16
15	23
16	8
17	15
18	19
19	18
20	19
21	8
22	8
23	23
24	13
25	15
26	15
27	23
28	18
29	15
30	No type found
31	8
32	9
33	4
34	22
35	9
36	9
37	4
38	9
39	18
40	16
41	15
42	17
43	13
44	5
45	5
46	12
47	17
48	17
49	9
50	8
51	8
52	9
53	5
54	7
55	15
56	8
57	2
58	5
59	18
60	16
61	15
62	12
63	17
64	18
65	23
66	4
67	2
68	4
69	5
70	5
71	16
72	22
73	4
74	16
75	8
76	4
77	15
78	7
79	22
80	22
81	4
82	15
83	14
84	17
85	18
86	7
87	17
88	23
89	22
90	18
91	17
92	18
93	17
94	4
95	17
96	13
97	18
98	22
99	4
100	17
101	2
102	15
103	4
104	4
105	5
106	14
107	16
108	18
109	4
110	4
111	15
112	17
113	17
114	5
115	15
116	16
117	4
118	7
119	15
120	19
121	18
122	23
123	23
124	14
125	17
126	12
127	14
128	12
129	22
130	4
131	22
132	4
133	15
134	15
135	4
136	14
137	18
138	16
139	4
140	19
141	15
142	2
143	15
144	15
145	18
146	18
147	23
148	15
149	22
150	13
151	22
152	23
153	4
154	4
155	19
156	8
157	15
158	18
159	9
160	5
161	17
162	8
163	17
164	16
165	9
166	18
167	14
168	14
169	19
170	21
171	23
172	17
173	14
174	22
175	11
176	6
177	5
178	4
179	2
180	12
181	7
182	15
183	16
184	18
185	23
186	22
187	8
188	14
189	18
190	17
191	17
192	18
193	4
194	17
195	16
196	18
197	15
198	9
199	18
200	15
201	8
202	23
203	9
204	23
205	17
206	3
207	17
208	15
209	23
210	15
211	24
212	23
213	17
214	13
215	15
216	5
217	4
218	17
219	15
220	18
221	4
222	5
223	9
224	23
225	22
226	4
227	17
228	9
229	13
230	9
231	18
232	16
233	15
234	14
235	18
236	23
237	17
238	22
239	18
240	13
241	9
242	18
243	18
244	5
245	4
246	4
247	5
248	4
249	4
250	7
251	6
252	15
253	13
254	18
255	8
256	19
257	2
258	9
259	4
260	23
261	7
262	9
263	15
264	23
265	7
266	22
267	5
268	5
269	23
270	9
271	15
272	16
273	19
274	9
275	15
276	4
277	22
278	23
279	15
280	23
281	3
282	7
283	5
284	17
285	5
286	4
287	7
288	17
289	No type found
290	15
291	4
292	20
293	8
294	15
295	18
296	22
